Link delay,Window size,Bandwidth
1,1,1.92
1,6,4.12
1,11,4.12
1,16,4.14
1,21,4.14
1,26,4.15
1,31,4.15
1,36,4.16
1,41,4.16
1,46,4.16
1,51,4.17
1,56,4.17
1,61,4.17
1,66,4.17
1,71,4.18
1,76,4.18
1,81,4.19
1,86,4.19
1,91,4.19
1,96,4.20
1,101,4.21
1,106,4.21
1,111,4.21
1,116,4.22
1,121,4.22
1,126,4.22
1,131,4.23
1,136,4.23
1,141,4.23
1,146,4.24
1,151,4.24
1,156,4.24
1,161,4.25
1,166,4.25
1,171,4.26
1,176,4.26
1,181,4.26
1,186,4.27
1,191,4.27
1,196,4.27
1,201,4.28
1,206,4.28
1,211,4.28
1,216,4.29
1,221,4.30
1,226,4.30
1,231,4.30
1,236,4.31
1,241,4.31
1,246,4.31
1,251,4.32
1,256,4.32
1,261,4.32
1,266,4.33
1,271,4.33
1,276,4.33
1,281,4.34
1,286,4.34
1,291,4.34
1,296,4.35
1,301,4.35
1,306,4.36
1,311,4.36
1,316,4.36
1,321,4.37
1,326,4.37
1,331,4.37
1,336,4.38
1,341,4.38
1,346,4.38
1,351,4.39
1,356,4.39
1,361,4.40
1,366,4.40
1,371,4.40
1,376,4.41
1,381,4.41
1,386,4.42
1,391,4.42
1,396,4.42
1,401,4.43
1,406,4.43
1,411,4.43
1,416,4.44
1,421,4.44
1,426,4.44
1,431,4.45
1,436,4.45
1,441,4.45
1,446,4.46
1,451,4.46
1,456,4.47
1,461,4.47
1,466,4.47
1,471,4.48
1,476,4.48
1,481,4.49
1,486,4.49
1,491,4.49
1,496,4.50
1,501,4.50
1,506,4.50
1,511,4.51
1,516,4.51
1,521,4.51
1,526,4.52
1,531,4.52
1,536,4.53
1,541,4.53
1,546,4.53
1,551,4.54
1,556,4.54
1,561,4.54
1,566,4.54
1,571,4.54
1,576,4.54
1,581,4.54
1,586,4.54
1,591,4.54
1,596,4.54
1,601,4.54
1,606,4.54
1,611,4.54
1,616,4.54
1,621,4.54
1,626,4.54
1,631,4.54
1,636,4.54
1,641,4.54
1,646,4.54
1,651,4.54
1,656,4.54
1,661,4.54
1,666,4.54
1,671,4.54
1,676,4.54
